cytoband	22q13.32	9p21.3	8p23.2	1p36.11	11q25	1p36.32	8p21.1	13q14.2	11q23.3	2q37.3	6q16.2	19p13.3	13q11	15q14	10q23.31	12q23.1	11q12.2	1p22.1	9p23	3p22.1	6q25.3	10q25.1	11p15.5	22q12.3	13q12.12	17q25.1	6q22.1	14q24.2	15q13.1	19q13.32	11q13.1	15q24.2	17q21.2	9p22.3	4q35.2	6q23.3	12p11.22	
					LOC100507548	CASP9		MAB21L1	CASP1	GPR35	FOXO3	GPX4		LTK	CYP26A1	COX6A1	PGA5	ATP5F1		CCK	AFDN	COL17A1	ODF3		GTF3A	FDXR	KPNA5	FOXN3	CHRNA7	BCL3	SERPING1	CHD2	CDC6		AGA	BCKDHB	AMHR2	
					MIR4697	RUNX3		SMAD9	CASP4	HDLBP	FYN	GADD45B		MAP1A	DNTT	CRY1	PRG2	BRDT		ENTPD3	NMBR	COX15	SCGB1C1		HMGB1	FOXJ1	LAMA4	CHGA	CKMT1B	CEACAM1	VPS51	CHRNA3	CCR7		ALB	CFB	APAF1	
						TNFRSF8		NEK3	CASP5	INPP5D	GABRR1	OAZ1		MEIS2	GLUD1	DAO	SSRP1	CAPZA1		CDC25A	OPRM1	CPN1	NLRP6		PDX1	GAA	MARCKS	CKB	CYP19A1	BLVRB	MRPL49	CHRNA5	CNP		AMBN	PRDM1	APOF	
						CDA		PCDH8	CBL	KCNJ13	GABRR2	POLR2E		MFAP1	GOT1	DCN	STX3	CASQ2		CISH	PARK2	CTBP2	ANO9		MAB21L1	GALK1	MAN1A1	CRIP1	DUT	C5AR1	ZNHIT2	CHRNB4	CPD		ANK2	BMP5	APOBEC1	
						CDK11B		RB1	CD3D	NDUFA10	GPR6	RPS15		TRPM1	GRID1	EPYC	TCN1	CD53		CCR1	PCMT1	CYP2C19	B4GALNT4		SMAD9	GCGR	PLN	CRIP2	EPB42	CA11	MPPED2	CLK3	CRHR1		SLC25A4	BMP6	AQP2	
						CDC20		RFXAP	CD3E	SEPT2	GRIK2	SGTA		PLCB2	HELLS	DTX1	SLC43A1	CHI3L2		CCR3	PDCD2	CYP2C8	IFITM5		MIPEP	UTS2R	PREP	DIO2	FBN1	CALM3	MYRF	CRABP1	CRYBA1		ANXA2P1	DST	AQP5	
						CDC42		TPT1	CD3G	NEU2	HTR1B	STK11		RAD51	HHEX	DUSP6	UBE2L6	CLCA1		CCR4	PLAGL1	CYP2C9	LINC01001		PABPC3	GPS1	PKIB	DIO3	FGF7	CD37	TMEM258	CSK	CSF3		ANXA3	BPHL	AQP6	
						CD52		TRPC4	CHEK1	PDCD1	HTR1E	TCF3		RYR3	HPS1	EIF2B1	LPXN	CNN3		CCR5	PLG	CYP2C18	MIR6743		UBL3	GRB2	PTPRK	DLST	GABPB1	CD79A	DAGLA	CSPG4	DHX8		ANXA5	BTN1A1	ARF3	
						RCC1		TNFSF11	CRYAB	PPP1R7	IMPG1	THOP1		SCG5	HTR7	ELK3	GLYAT	COL11A1		CCR8	PSMB1	CYP2E1			RFC3	GRIN2C	REV3L	DYNC1H1	GABRA5	CEACAM5	CALCA	CTSH	DUSP3		APBB2	BYSL	ARHGDIB	
						CLCN6		SUCLA2	DDX6	SAG	LAMA4	TLE2		SPINT1	IDE	STX2	PRG3	CSF1		ACKR2	RPS6KA2	CYP17A1			RFXAP	H3F3B	ROS1	EIF2S1	GABRB3	CGB3	CALCB	CYP1A1	ERBB2		AREG	C2	ARL1	
						CLCNKA		DLEU2	DDX10	SPP2	ME1	SF3A2		SRP14	IFIT2	GOLGA3	OR5I1	CTBS		COL7A1	SLC22A1	CYP26A1			RNF6	MRPL58	SMPD2	EIF5	GABRG3	CEACAM3	CAPN1	CYP1A2	ETV4		RHOH	C4A	ART4	
						CLCNKB		TSC22D1	DLAT	DGKD	MYO6	S1PR4		THBS1	IFIT1	GTF2H3	CLP1	DBT		CTNNB1	SLC22A3	DMBT1			RPL21	FOXK2	NR2E1	ELK2AP	GALK2	CEACAM7	CAT	CYP11A1	EVI2A		ART3	C4B	ASCL1	
						PLK3		CCNA1	DPAGT1	PER2	NT5E	AP3D1		TP53BP1	IFIT3	HAL	PTGDR2	DPYD		CX3CR1	SLC22A2	DNTT			SGCG	ITGB4	TPD52L1	EML1	GANC	CEACAM8	CD5	ETFA	EVI2B		ATOH1	DDR1	ATF1	
						CNR2		DCLK1	DRD2	LRRFIP1	PGM3	APC2		TYRO3	KIF11	HPD	ZP1	DR1		CYP8B1	SOD2	DOCK1			SLC7A1	KCNJ2	TSPYL1	ERH	GATM	CEACAM4	CD6	FAH	EZH1		ATP5I	RUNX2	ATP2A2	
						COL8A2		ITM2B	ETS1	ECEL1	POU3F2	ABCA7		JMJD7-PLA2G4B	LIPA	IGF1	DTX4	S1PR1		DAG1	T	DUSP5			TRPC4	KCNJ16	RNF217-AS1	ESR2	GCHFR	CKM	MS4A1	FES	FLOT2		NKX3-2	CCNC	ATP2B1	
						COL9A2		MTRF1	FDX1	EIF4E2	PREP	UQCR11		SNAP23	PDE6C	LTA4H	ZDHHC5	CELSR2		DNASE1L3	TBP	ECHS1			TUBA3C	KPNA2	DDO	ESRRB	PDIA3	AP2S1	MS4A3	GTF2A2	GAST		BMP3	CCND3	ATP5B	
						COL16A1		UTP14C	FLI1	HDAC4	REV3L	SBNO2		TGM5	PGAM1	LUM	OR5L2	EXTL2		DOCK3	TCP1	EMX2			ZMYM2	LGALS3BP	SNX3	FNTB	GTF2A2	CLC	CD44	HEXA	FZD2		BMPR1B	CDC5L	ATP5G2	
						CORT		LPAR6	SLC37A4	FARP2	SIM1	ARHGAP45		PPIP5K1	PPP1R3C	KITLG	TIMM10	F3		DUSP7	TCP10	FGF8			IFT88	LLGL2	CD164	FOS	HDC	CLPTM1	CD59	IDH2	G6PC		BST1	CDKN1A	AVPR1A	
						CSF3R		SLC25A15	GRIA4	ARL4C	SMPD2	TIMM13		AQR	PTEN	MMP17	PRPF19	GBP1		CELSR3	TCTE3	FGFR2			CCNA1	MAFG	WISP3	FUT8	ONECUT1	CRX	CFL1	IDH3A	KAT2A		BTC	CDSN	BCAT1	
						CTPS1		LHFP	GRIK4	RAMP1	ELOVL4	DAZAP1		ARHGAP11A	ALDH18A1	MSI1	SLC43A3	GBP2		FHIT	DYNLT1	GFRA1			MTMR6	NPTX1	WASF1	GALC	IPW	CYP2A6	CHKA	IGF1R	GFAP		CAMK2D	CGA	BCL7A	
						CYP4A11		TRIM13	GUCY1A2	STK25	MAP3K7	RNU6-1		LCMT2	RBP4	MVK	TMX2	GBP3		FLNB	THBS2	GOT1			DCLK1	P4HB	ATG5	GPX2	ITPKA	CYP2A7	CHRM1	IL16	CCR10		CASP3	CLIC1	BICD1	
						CYP4B1		MRPS31	H2AFX	COPS8	NR2E1	SLC39A3		SLC12A6	SCD	MYBPC1	SLC15A3	GFI1		GBE1	UTRN	PRLHR			ZMYM5	PDE6G	KIAA0408	GSTZ1	IVD	CYP2A13	CHRM4	IREB2	GRB7		CASP6	CLPS	BTG1	
						DDOST		DLEU1	HMBS	CAPN10	TPBG	LSM7		RASGRP1	SFRP5	MYL2	MS4A4A	GCLM		GLB1	EZR	GPR26			KL	PRKAR1A	ZBTB24	GTF2A1	LIPC	CYP2B6	CNTF	ISG20	GRN		CCKAR	CCR6	C1R	
						DFFA		OLFM4	HSPA8	PASK	TTK	MBD3		SERF2	SLIT1	NFYB	MS4A12	GNAI3		GNAI2	VIP	GRK5			NUP58	MAP2K6	FIG4	BRF1	LTK	CYP2B7P	COPB1	ISLR	HCRT		CCNA2	CNR1	C1S	
						DFFB		POSTN	HSPB2	ATG4B	DDO	PCSK4		GPR176	SNCG	NOS1	MRPL16	GNAT2		GNAT1	EPM2A	HABP2			FRY	PRPSAP1	TRDN	HIF1A	SMAD3	CYP2F1	COX8A	LIPC	HSD17B1		CCNG2	COL9A1	C3AR1	
						DPH2		SUGT1	HTR3A	SH3BP4	SNX3	C19orf24		CHP1	TLL2	NTS	TMEM132A	GNG5		GOLGA4	PEX3	HELLS			USPL1	PYCR1	TRAF3IP2	HSPA2	SMAD6	DBP	CPT1A	LOXL1	IFI35		SCARB2	COL10A1	CACNA1C	
						DVL1		LECT1	IL10RA	NGEF	RNGTT	PLEKHJ1		OIP5	WNT8B	OAS1	VPS37C	GSTM1		XCR1	RNASET2	HHEX			SAP18	PCYT2	SMPDL3A	HSP90AA1	MAP1A	DMPK	CRY2	SMAD3	IGFBP4		CD38	COL11A2	CACNB3	
						E2F2		WBP4	IL18	SNED1	CD164	BTBD2		BAHD1	LIPF	OAS2	MS4A7	GSTM2		GPR27	STX11	HMX2			N4BP2L2	RAC3	BVES	IFI27	MEIS2	DMWD	CST6	SMAD6	ITGA2B		LRBA	COL12A1	CCND2	
						ECE1		AKAP11	STT3A	GIGYF2	WISP3	NCLN		MAPKBP1	CH25H	OAS3	FAM111A	GSTM3		GPX1	SYNJ2	TLX1			POSTN	RFNG	SEC63	ITPK1	MFAP1	MEGF8	CSTF3	MAN2A2	JUP		CDS1	COL19A1	CCNT1	
						EDN2		EXOSC8	KCNJ1	TRAF3IP1	WASF1	SPPL2B		GOLGA8A	PKD2L1	P2RX4	MS4A6A	GSTM4		GRM2	LATS1	HPS1			GJB6	RPL38	CDK19	JAG2	TRPM1	EMP3	CTNND1	MAN2C1	KRT9		CLGN	COX7A2	CD4	
						PHC2		FNDC3A	KCNJ5	ANO7	TBX18	WDR18		RTF1	BTAF1	P2RX7	MS4A5	GSTM5		HYAL1	QKI	HTR7			HSPH1	MRPL12	TSPYL4	KLC1	MYO1E	ERCC1	CTSW	MEF2A	KRT10		CENPC	ATF6B	CD9	
						MEGF6		VWA8	VWA5A	PRLH	HMGN3	REXO1		MGA	PAPSS2	PEBP1	TMEM109	GTF2B		IMPDH2	WTAP	IDE			WASF3	SEC14L1	HEY2	LTBP2	MYO5A	ERCC2	DDB1	MFGE8	KRT12		CENPE	MAPK14	CD27	
						EPHA2		ZC3H13	MCAM	THAP4	FHL5	ZNF77		VPS39	PDLIM1	PAH	CCDC86	CYR61		ITGA9	AKAP12	INPP5A			EXOSC8	SECTM1	BRD7P3	MARK3	NDN	ERF	DDB2	MPI	KRT13		CLCN3	CSNK2B	SCARB1	
						ENO1		SPG20	KMT2A	ANKMY1	ATG5	CELF5		CCNDBP1	LGI1	CDK17	TRIM48	KCNA2		ITIH1	PHACTR2	KIF11			PDS5B	SRSF2	ASF1A	MAX	NEDD4	FBL	EEF1G	MYO1E	KRT14		CNGA1	CTGF	CD63	
						EPB41		LRCH1	MMP1	SCLY	ZBTB24	TLE6		HYPK	MINPP1	SLC25A3	ZFP91	KCNA3		ITIH3	UST	ABLIM1			SPG20	SGSH	SESN1	ATXN3	OAZ2	FOSB	ELF5	MYO9A	KRT15		CPE	CYP21A2	CD69	
						EPHA8		INTS6	MMP3	ASB1	SNAP91	ZNF556		TMEM87A	KIF20B	PLA2G1B	OR8J3	KCNA10		ITIH4	CITED2	MGMT			MTUS2	SUMO2	OSTM1	MAP3K9	OCA2	FTL	MARK2	NEDD4	KRT16		CRMP1	CYP21A1P	CDK2	
						EPHB2		CKAP2	MMP7	UGT1A10	FIG4	ABHD17A		RPAP1	ZNF518A	PMCH	OR4P4	KCNC4		LAMB2	PDE10A	MKI67			FAM230C	SOX9	DSE	ALDH6A1	PLCB2	FUT1	ESRRA	NEO1	KRT17		CSN1S1	DAXX	CDK4	
						EXTL1		NUFIP1	MMP8	UGT1A8	CASP8AP2	KLF16		DKFZP434L187	FRAT1	POLE	OR4C15	KCND3		RPSA	RAB32	MXI1			SACS	SRP68	HDDC2	MNAT1	PPIB	FUT2	EXT2	NMB	KRT19		CSN2	DNAH8	CDKN1B	
						EYA3		NBEA	MMP10	UGT1A7	SYNCRIP	DOT1L		GREM1	RPP30	PPP1CC	OR4A5	MOV10		LTF	KATNA1	NDUFB8			LATS2	SSTR2	TUBE1	MTHFD1	MAPK6	GIPR	F2	NTRK3	KRT31		CSN3	DXO	CHD4	
						FAAH		PCDH17	MMP12	UGT1A6	SLC35A1	LMNB2		RPUSD2	SORBS1	PRKAB1	OR4A16	NGF		MAP4	FGFR1OP	NFKB2			SNORD102	TBCD	C6orf203	NDUFB1	MAP2K1	GPR4	FANCF	OAZ2	KRT32		CTBP1	DSP	CMKLR1	
						FABP3		RGCC	MMP13	UGT1A5	FUT9	MUM1		TUBGCP4	ERLIN1	PSMD9	OR4A15	NHLH2		MITF	SCAF8	NRAP			NBEA	TIMP2	CDC40	SIX6	MAP2K5	GRIK5	FAU	FURIN	KRT33A		CTSO	E2F3	CNTN1	
						FGR		MED4	NCAM1	UGT1A9	TRAF3IP2	MIDN		EHD4	ADIRF	PTPN11	OR10W1	NRAS		MLH1	TAB2	OAT			ALG5	TK1	RWDD1	SERPINA5	RAB27A	GRIN2D	MS4A2	PCSK6	KRT33B		DGKQ	EDN1	COL2A1	
						FHL3		DNAJC15	NFRKB	UGT1A4	PNRC1	TMEM259		NDUFAF1	LDB3	PXMP2	OR10V2P	OVGP1		MOBP	SASH1	PAX2			POLR1D	CBX4	SOBP	PGF	RAD51	ARHGAP35	FEN1	PDE8A	KRT34		DCK	EEF1A1	COX6A1	
						FOXE3		ALG5	NNMT	UGT1A1	ASCC3	REEP6		NUSAP1	CPEB3	PXN	MS4A8	PRKACB		MST1	SYNE1	PDE6C			CRYL1	DNAH17	QRSL1	SERPINA1	RORA	GSK3A	FKBP2	PKM	KRT35		DCTD	SERPINB1	CPM	
						FOXD2		VPS36	NPAT	UGT1A3	BVES	IZUMO4		EMC4	WAPL	RAN	MS4A14	PKN2		MST1R	HEBP2	PGAM1			POMP	GALR2	ECHDC1	SERPINA4	RPL4	GYS1	FOLH1	PLIN1	LASP1		DHX15	SLC29A1	CREBL2	
						MTOR		PHF11	NRGN	ATG16L1	SEC63	SCAMP4		SPTBN5	RRP12	RFC5	TRIM51	PSMA5		MYD88	CCDC28A	PITX3			ATP8A2	SPHK1	PDSS2	PIGH	RPLP1	FOXA3	FSHB	PML	LGALS9		DMP1	EPB41L2	CRY1	
						FUCA1		UFM1	PAFAH1B2	USP40	CEP162	ADAT3		KLF13	TBC1D12	RFX4	TNKS1BP1	ABCD3		MYL3	MTHFD1L	PNLIP			IL17D	SOCS3	GOPC	PPM1A	RYR3	HRC	FTH1	POLG	LHX1		DRD5	EPHA7	CS	
						IFI6		SOHLH2	PGR	HJURP	ANKRD6	ZNF554		DLL4	DNMBP	RPL6	GLYATL1	RAP1A		NKTR	IPCEF1	PNLIPRP1			MPHOSPH8	SLC16A6	SERINC1	PPP2R5C	SCG5	KCNA7	GAS2	PPIB	LIG3		DSPP	EYA4	CSRP2	
						GABRD		ENOX1	POU2AF1	HES6	RIMS1	GRIN3B		INO80	FRAT2	RPLP0	OR4C46	SNORD21		CNTN3	TIAM2	PNLIPRP2			SOHLH2	SLC16A5	HACE1	PPP2R5E	SLC12A1	KCNJ14	GIF	MAP2K1	NBR1		EDNRA	ESR1	CYP27B1	
						GALE		RCBTB1	PPP2R1B	ACKR3	DOPEY1	ZNF57		PPP1R14D	IFIT5	CLIP1	OR8I2	RPL5		PDHB	LINC01558	PPP1R3C			PSPC1	SLC16A3	BEND3	PRKCH	SNRPN	KCNN4	GNG3	MAP2K5	MAPT		EGF	F13A1	DGKA	
						GJA4		NUDT15	PTS	RNPEPL1	ZNF292	JSRP1		ZNF770	SEC31B	ATXN2	OR8U1	SORT1		PFKFB4	FBXO5	HTRA1			TNFRSF19	SYNGR2	TRMT11	LGMN	SNX1	LHB	GSTP1	PSMA4	ADAM11		EIF4E	FABP7	DAO	
						GJB3		GPALPP1	NECTIN1	GAL3ST2	CDK19	MOB3A		HAUS2	TCTN3	SELPLG	OR4C16	SARS		PLCD1	RGS17	PSD			SUPT20H	HGS	POPDC3	PSEN1	SORD	LIG1	GTF2H1	PTPN9	MEOX1		ELF2	FANCE	DCN	
						GJB5		SUPT20H	RDX	RAB17	MDN1	PLK5		RMDN3	C10orf12	SFSWAP	OR4C11	SLC16A1		PLXNB1	DLL1	PTPRE			CENPJ	CYTH1	MICAL1	PSMA3	SPINT1	LIPE	SLC29A2	RASGRF1	MLLT6		ENPEP	FKBP5	DDIT3	
						GNB1		THSD1	RPS25	TRPM8	UFL1	CIRBP-AS1		DNAJC17	ANKRD2	SNRPF	OR4S2	STXBP3		POU1F1	MRPL18	ALDH18A1			RNF17	SLC9A3R1	FAM184A	PSMC1	SRP14	BCAM	DNAJC4	RCN2	MPP2		EPHA5	FOXF2	DDX11	
						SFN		CYSLTR2	SC5D	MLPH	ORC3	C19orf25		NOP10	CNNM1	TBX5	OR4C6	SYCP1		PRKAR2A	CLDN20	RBP4			XPO4	COG1	RNF146	ABCD4	TCF12	MAP3K10	IGHMBP2	RLBP1	MPP3		EREG	FOXC1	ATN1	
						GPR3		SPRYD7	SCN2B	IQCA1	MTO1	ATP8B3		EMC7	MYOF	TBX3	OR5D14	TAF13		PRKCD	NOX3	RGS10			MRPL57	RECQL5	ARMC2	RAD51B	THBS1	CEACAM6	INCENP	RORA	MYO1D		ETFDH	FOXO3	EPYC	
						GRIK3		COG6	SCN4B	C2orf54	PNISR	DIRAS1		PAK6	ANKRD1	HNF1A	OR5L1	TGFBR3		PTH1R	TFB1M	RPL21			KATNAL1	PGS1	RPF2	MOK	TJP1	NOVA2	CD82	RPL4	NAGLU		EVC	FRK	DTX1	
						GUCA2A		SMIM2	SDHD	EFHD1	IBTK	ZNF555		KNL1	R3HCC1L	TDG	OR5D18	TSHB		PTPRG	AIG1	SCD			MEDAG	AATK	RTN4IP1	ARID4A	TLE3	NPAS1	KCNA4	RPLP1	NEUROD2		F11	FUCA2	DUSP6	
						GUCA2B		NAA16	ST3GAL4	ILKAP	SENP6	CBARP		AVEN	BLNK	TMPO	OR7E5P	VCAM1		QARS	SNX9	SFRP5			STARD13	TMEM94	RSPO3	RTN1	TP53BP1	NTF4	KCNC1	RPS17	NF1		FABP2	FYN	PHC1	
						HCRTR1		RNASEH2B	SLN	ING5	FBXL4	CSNK1G2-AS1		GJD2	EXOSC1	NR2C1	OR5AS1	WNT2B		RAB5A	VTA1	FBXW4			N4BP2L1	EIF4A3	SLC22A16	SEL1L	TPM1	NUCB1	KCNJ11	SH3GL3	NMT1		ACSL1	GABBR1	EIF2B1	
						HDAC1		DHRS12	SORL1	MGC16025	SLC17A5	ADAMTSL5		STARD9	CUTC	HSP90B1	OR8K5	CSDE1		RARB	MPC1	SLC18A2			TPTE2	ALYREF	MFSD4B	SRSF5	TYRO3	PAFAH1B3	LDHA	SNRPA1	NOS2		FAT1	GABRR1	EIF4B	
						ZBTB48		RUBCNL	SRPRA	LOC93463	SNORD50A	TMPRSS9		VPS18	PLCE1	TXNRD1	OR5T2	EVI5		SNORA62	HECA	SLIT1			N4BP2L2-IT2	ABCA10	GTF3C6	SIX1	UBE3A	PLAUR	LDHC	SNX1	NSF		FGA	GABRR2	CELA1	
						HMGN2		PROSER1	ST14	AGAP1	FILIP1	NDUFS7		ZNF106	PANK1	UBC	OR8H1	CDC7		ROBO1	UNC93A	TAF5			CSNK1A1L	ABCA9	NUS1	SLC8A3	MKRN3	POU2F2	FADS1	TCF12	OMG		FGB	GCNT2	ELK3	
						HMGCL		CDADC1	TAGLN	TWIST2	SESN1	C19orf35		CHAC1	EXOC6	UBE2N	OR8K3	BCAR3		ROBO2	MTRF1L	TCF7L2			RXFP2	ABCA8	SLC16A10	SLC10A1	SLC30A4	PPP5C	FADS3	NR2F2	PEX12		FGF2	GJA1	EMP1	
						HPCA		CAB39L	TECTA	NEU4	OSTM1	ONECUT3		KATNBL1	FAM35A	UNG	OR8J1	LMO4		RPL15	RMND1	TECTB			TEX26	BAIAP2	CLVS2	SNAPC1	PWAR5	PSG1	LMO2	TLE3	PNMT		FGF5	GCLC	ENO2	
						HSPG2		CCDC70	THY1	MTERF4	NDUFAF4	MEX3D		WDR76	CCNJ	ZNF10	OR5R1	CDC14A		RPL29	PHF10	TIAL1			B3GLCT	ATP5H	NCOA7	SPTB	ANP32A	PSG2	LRP4	TPM1	MED1		FGFR3	GLO1	STX2	
						HTR1D		COG3	TRPC6	UBE2F	CYB5R4	LINGO3		TMEM62	MARCH5	ZNF26	OR5M3	RTCA		SATB1	ERMARD	TLL2			EEF1DP3	ST6GALNAC2	HINT3	TGFB3	CILP	PSG3	LRP5	HSP90B2P	PPY		FGG	GLP1R	EPS8	
						HTR6		SETDB2	UPK2	OTOS	TUBE1	LOC100288123		ELL3	CRTAC1	ZNF84	OR5M8	BCL10		ATXN7	AGPAT4	UROS			AMER2	SEPT9	RNF217	TNFAIP2	PIAS1	PSG4	LTBP3	TYRO3P	PSMB3		FRG1	GMDS	ERBB3	
						ID3		KBTBD7	ZBTB16	COPS9	C6orf203	MIR1909		C15orf41	CEP55	ZNF140	OR5M11	SLC16A4		SCN5A	TULP4	WNT8B			USP12	CD300C	NKAIN2	TRAF3	EIF3J	PSG5	CAPRIN1	AP3B2	PYY		GAB1	GMPR	ETV6	
