Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	TCGA-A2-A4S1	TCGA-AO-A125	TCGA-AC-A3W5	TCGA-LQ-A4E4	TCGA-A7-A425	TCGA-EW-A1J6	TCGA-E2-A105	TCGA-GM-A5PX	TCGA-LL-A5YM	TCGA-E2-A14W	TCGA-A7-A56D	TCGA-E2-A576	TCGA-OL-A5D6	TCGA-D8-A4Z1	TCGA-OL-A66P	TCGA-LL-A6FP	TCGA-E2-A1LE	TCGA-OL-A66K	TCGA-UL-AAZ6	TCGA-E2-A14S	TCGA-W8-A86G	TCGA-BH-A0DS	TCGA-B6-A40B	TCGA-BH-A42U	TCGA-AC-A3W6	TCGA-AC-A3YJ	TCGA-OL-A66L	TCGA-E2-A2P5	TCGA-E9-A3Q9	TCGA-E9-A5FL	TCGA-AN-A03Y	TCGA-OL-A5D7	TCGA-BH-A0EE	TCGA-E2-A2P6	TCGA-AC-A3TN	TCGA-E2-A14O	TCGA-AO-A1KQ	TCGA-AC-A8OP	TCGA-E2-A572	TCGA-A2-A0CO	TCGA-C8-A131	TCGA-OL-A97C	TCGA-E2-A1IF	TCGA-BH-A42T	TCGA-GM-A2D9	TCGA-V7-A7HQ	TCGA-A2-A04N	TCGA-LL-A6FQ	TCGA-OL-A66J	TCGA-PE-A5DC	TCGA-AC-A3W7	TCGA-LD-A9QF	TCGA-BH-A0E6	TCGA-AC-A62Y	TCGA-S3-AA12	TCGA-AC-A3YI	TCGA-OL-A66H	TCGA-B6-A0I1	TCGA-AC-A3QP	TCGA-LD-A74U	TCGA-AO-A1KP	TCGA-LL-A9Q3	TCGA-S3-AA11	TCGA-XX-A89A	TCGA-A7-A3IY	TCGA-B6-A0IO	TCGA-E9-A54X	TCGA-E2-A14U	TCGA-LL-A7T0	TCGA-E2-A1B4	TCGA-GM-A3NY	TCGA-LL-A50Y	TCGA-D8-A73U	TCGA-AO-A0J3	TCGA-GM-A4E0	TCGA-A8-A09M	TCGA-AC-A5XS	TCGA-AC-A8OS	TCGA-EW-A423	TCGA-OL-A5S0	TCGA-E2-A9RU	TCGA-WT-AB44	TCGA-E2-A56Z	TCGA-BH-A8FY	
Amplification Peak 25	17q23.3 	chr17:63959668-63975017(probes 1369967:1369975)	chr17:63959921-63971983(probes 1369968:1369974)	chr17:63039768-65378332(probes 1369578:1370746)	0.018504	    0.10762		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	0	0	0	1	2	0	1	2	2	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	2	0	2	0	0	1	0	0	0	1	0	
Amplification Peak 26	17q25.1 	chr17:75851719-75884173(probes 1376983:1376985)	chr17:75852942-75882547(probes 1376984:1376984)	chr17:75274826-76504249(probes 1376747:1377242)	0.014291	   0.028541		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	2	0	0	1	0	1	2	0	2	2	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	1	0	1	0	1	0	
Amplification Peak 27	19q12   	chr19:29240050-29840677(probes 1433740:1434234)	chr19:29684643-29731959(probes 1434100:1434126)	chr19:27854071-31168926(probes 1432627:1435165)	0.0020561	   0.033226		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	2	2	0	0	0	
Amplification Peak 28	19q12   	chr19:30738503-30807135(probes 1434845:1434888)	chr19:30738733-30797210(probes 1434846:1434878)	chr19:27854071-31168926(probes 1432627:1435165)	0.0052205	   0.092024		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	0	0	0	
Amplification Peak 29	20q13.2 	chr20:53547099-54666853(probes 1478753:1479604)	chr20:53953691-54163653(probes 1479019:1479221)	chr20:53547195-55145438(probes 1478754:1479990)	0.033546	   0.033546		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	1	0	1	2	2	0	1	0	2	1	0	0	1	2	0	0	2	2	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	2	1	0	1	1	2	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	1	0	1	1	1	0	1	0	
Deletion Peak  1	1p36.32 	chr1:1-48183817(probes 1:24485)                      	chr1:1-3302045(probes 1:1)                            	chr1:1-35906266(probes 1:17688)                      	1.9025e-06	  0.0022269		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	1	0	1	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	0	0	
Deletion Peak  2	1p36.11 	chr1:25419577-25960071(probes 12415:12663)          	chr1:25791903-25911582(probes 12573:12628)          	chr1:1-35906266(probes 1:17688)                      	1.3526e-06	 2.7103e-05		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	1	1	0	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	1	1	1	0	1	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1	1	1	1	1	0	1	1	0	1	0	0	
Deletion Peak  3	1p22.1  	chr1:81512556-115926769(probes 45340:66322)        	chr1:91679171-91907379(probes 51980:52092)          	chr1:91483784-93487911(probes 51827:52818)          	0.062224	   0.062224		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	
Deletion Peak  4	2q37.3  	chr2:232169786-242193529(probes 258694:264464)    	chr2:237365501-241359394(probes 262141:264357)    	chr2:232328859-242193529(probes 258766:264464)    	0.0077203	  0.0077203		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	
Deletion Peak  5	3p22.1  	chr3:17154445-87279214(probes 273867:314745)        	chr3:42488452-42540187(probes 288938:288968)        	chr3:42497023-42546159(probes 288941:288972)        	0.092372	    0.09189		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	1	0	0	1	0	1	1	0	1	1	1	0	1	0	
Deletion Peak  6	4q35.2  	chr4:1-190214555(probes 372523:476996)              	chr4:186264232-186295233(probes 476066:476099)    	chr4:186279438-186280056(probes 476083:476084)    	0.24533	    0.24343		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	
Deletion Peak  7	6q16.2  	chr6:72215158-113652193(probes 619292:642936)      	chr6:99914150-100082811(probes 634734:634811)      	chr6:77391661-112853062(probes 622327:642397)      	0.0062004	  0.0084464		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	
Deletion Peak  8	6q22.1  	chr6:102069225-128884476(probes 635941:651316)    	chr6:116037296-116132897(probes 644239:644278)    	chr6:115988404-116322937(probes 644212:644383)    	0.11901	    0.17703		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	
Deletion Peak  9	6q23.3  	chr6:1-170805979(probes 578903:677023)              	chr6:135848539-136198276(probes 656129:656417)    	chr6:136022125-136024657(probes 656274:656275)    	0.18874	    0.24343		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	
Deletion Peak 10	6q25.3  	chr6:138158106-170805979(probes 657686:677023)    	chr6:155255198-155320028(probes 668575:668620)    	chr6:155288617-155291877(probes 668598:668599)    	0.067277	    0.09189		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	
